signal,fit_window,refit_every,entry_threshold,stop_loss_mult,num_trades,total_pnl,sharpe,max_drawdown_$,worst_trade,best_trade,win_rate_%,avg_trade_pnl,ann_return_$,ann_vol_$
GARCH,252,5,1.15,2.0,43,-3018.624750818,-0.3430460136135907,-4784.097283494,-1560.33657975,954.0853341590002,55.81395348837209,-70.20057560041863,-509.8481482614852,1486.2383704472413
GARCH,252,5,1.15,2.5,43,-4390.214131793999,-0.46827132166747787,-6155.686664469999,-1850.8602169499998,954.0853341590002,58.139534883720934,-102.09800306497674,-741.5106978633295,1583.506534679227
GARCH,252,5,1.2,1.5,38,-1194.3056372440012,-0.15727351968346495,-3578.837588699999,-1141.2480177500001,954.0853341590002,47.368421052631575,-31.429095716947366,-201.71918269804846,1282.6010577243812
GARCH,252,5,1.2,2.0,38,-3586.161664986004,-0.41243024434137,-5225.649762162004,-1663.09648915,954.0853341590002,50.0,-94.37267539436844,-605.7055895284672,1468.6255381094759
GARCH,252,5,1.2,2.5,38,-2749.073314334997,-0.2972185113898957,-4418.540876649999,-1850.8602169499998,954.0853341590002,55.26315789473685,-72.34403458776313,-464.32069384210405,1562.219969647184
GARCH,252,21,1.05,1.5,52,4768.101899757002,0.5308494817801259,-1926.5040791000001,-873.4289125499996,2047.053152619001,57.692307692307686,91.69426730301919,805.3362458034615,1517.0707958551347
GARCH,252,21,1.05,2.0,52,4471.762434417989,0.3801081310660836,-3840.7746159060016,-3633.2757283729993,2047.053152619001,69.23076923076923,85.99543143111539,755.2842717649688,1987.024770153257
GARCH,252,21,1.05,2.5,52,5772.171049217993,0.48032713588276815,-3960.658143156002,-3633.2757283729993,2047.053152619001,73.07692307692307,111.00328940803851,974.9243327097414,2029.7090459359097
GARCH,252,21,1.1,1.5,47,3094.595842880998,0.3966620964166089,-2266.715442100001,-959.8092717880002,897.2916793,57.446808510638306,36.687413826829726,522.6797268136806,1317.6951655716484
GARCH,252,21,1.1,2.0,47,4987.244728818006,0.5297949152303973,-2359.761754300001,-1676.1315667060003,897.2916793,70.2127659574468,76.95653905953192,842.349645886151,1589.9541910851103
GARCH,252,21,1.1,2.5,47,5003.760273084,0.4490368987305184,-4160.419230452001,-3768.2489962900004,897.2916793,74.46808510638297,77.30793361838296,845.1391345959571,1882.1151156737178
GARCH,252,21,1.15,1.5,43,3069.1401700939996,0.36866524070819906,-2697.5046949999996,-790.7525468000002,2428.922515845,53.48837209302325,71.37535279288369,518.3802432062251,1406.1001308678474
GARCH,252,21,1.15,2.0,43,6474.007069211998,0.6484012353417259,-2035.7362598620034,-1218.8357458999994,2428.922515845,67.44186046511628,150.5583039351628,1093.4650009661016,1686.4017854466524
GARCH,252,21,1.15,2.5,43,7391.730873409996,0.7234364586070853,-2179.8854651830025,-1539.015220702,2428.922515845,69.76744186046511,171.90071798627903,1248.4692896108036,1725.7483705129043
GARCH,252,21,1.2,1.5,34,-122.54589595599896,-0.016286670423886693,-3637.0776919559994,-1833.6454745299989,1352.9272985500006,55.88235294117647,-3.6042910575294145,-20.698100389351033,1270.8613762451016
GARCH,252,21,1.2,2.0,33,3110.518441927996,0.32190821539212916,-4188.363408158999,-1625.8759894100006,1352.9272985500006,66.66666666666666,75.95215818436355,525.3690665990985,1632.046159366034
GARCH,252,21,1.2,2.5,33,2405.9270249939964,0.21547749692791945,-6262.5054415429995,-3700.0180227939995,1352.9272985500006,69.6969696969697,54.60090312575753,406.3630095834364,1885.8721461729765
GARCH,252,63,1.05,1.5,49,6562.568577920996,0.7567176786558522,-1800.3285908479993,-1465.38255365,831.6432238999997,71.42857142857143,126.19387916308159,1108.4231110161468,1464.7776076607915
GARCH,252,63,1.05,2.0,49,6391.92096993699,0.5710807017759149,-2315.7293414039978,-1465.38255365,831.6432238999997,73.46938775510205,122.71127491851014,1079.6005927775614,1890.4518913356374
GARCH,252,63,1.05,2.5,49,5012.049559134989,0.43758151173147347,-3062.821992855998,-1465.38255365,831.6432238999997,73.46938775510205,94.55063388173463,846.5392016769553,1934.5863090222217
GARCH,252,63,1.1,1.5,43,5471.112282236983,0.6828578549820642,-2082.0356845000006,-819.3538999000003,919.5293068000003,69.76744186046511,129.8624325841162,924.0752648282304,1353.24688452548
GARCH,252,63,1.1,2.0,43,4266.33286987799,0.5019837983364714,-2777.8544567500003,-1551.01867045,919.5293068000003,72.09302325581395,101.84430671530225,720.5870530893119,1435.478705642038
GARCH,252,63,1.1,2.5,43,6111.985992370987,0.6641570635312838,-2777.8544567500003,-2000.4801449709996,919.5293068000003,79.06976744186046,144.7664723546744,1032.3193499178878,1554.33015261346
GARCH,252,63,1.15,1.5,39,5188.617747554997,0.6034866222286632,-2143.2352082369985,-836.4648229179999,919.5293068000003,64.1025641025641,104.3467791127948,876.3617107130423,1452.1642708112686
GARCH,252,63,1.15,2.0,39,4224.205694516998,0.43605227049709255,-3379.7396915369995,-1928.2298773609998,919.5293068000003,69.23076923076923,79.61826493233329,713.4717392883938,1636.2069127057807
GARCH,252,63,1.15,2.5,39,3573.8144763329974,0.3145810265194134,-5400.613213064,-4093.842827745,919.5293068000003,71.7948717948718,62.941567030179435,603.6201394342596,1918.8065666668842
GARCH,252,63,1.2,1.5,32,1372.3638545289978,0.14132564045812018,-3500.940819869002,-2238.8227923900004,919.5293068000003,68.75,39.15983880315615,231.7933588078468,1640.136623874246
GARCH,252,63,1.2,2.0,32,1192.188000114,0.11652363668739717,-4415.275208633001,-2238.8227923900004,919.5293068000003,75.0,33.52934335268739,201.36151208359786,1728.0743873777199
GARCH,252,63,1.2,2.5,32,1784.854538312999,0.16678583434226338,-5337.830402634001,-2238.8227923900004,919.5293068000003,78.125,52.050172671406145,301.4633670609087,1807.4878376197812
GARCH,504,5,1.05,1.5,43,-183.7394208720009,-0.020009415886434064,-4040.975426246,-873.4289125499996,1798.8520320650007,48.837209302325576,-4.27300978772092,-31.03373596497602,1550.9566166804598
GARCH,504,5,1.05,2.0,43,24.676954471994804,0.0022097358319662598,-4792.747757151999,-2006.7431595590003,1798.8520320650007,67.44186046511628,0.5738826621394881,4.167957457736388,1886.1790615159957
